"","x1_gender","x2_seniorcitizen","x3_partner","x4_dependents","x5_tenure","x6_contract","x7_paperlessbill","x8_paymntmethod","x9_mthlycharges","x10_totalcharges","x11_phone","x12_multipleline","x13_internet","x14_onlinesecur","x15_onlinebckp","x16_devprotect","x17_techsupport","x18_streamtv","x19_streammovie","y_churn"
"387","Female",1,"Yes","No",55,"Month-to-month","Yes","Electronic check",85.45,4874.7,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No",1
"388","Female",0,"No","No",42,"One year","Yes","Electronic check",54.75,2348.45,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","Yes",0
"389","Male",0,"No","No",44,"Month-to-month","Yes","Mailed check",90.4,4063,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes",0
"390","Male",0,"No","Yes",1,"Month-to-month","No","Electronic check",44,44,"Yes","No","DSL","No","No","No","No","No","No",0
"391","Female",0,"No","No",27,"Month-to-month","Yes","Bank transfer (automatic)",95.6,2595.25,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes",0
"392","Male",1,"Yes","No",27,"Month-to-month","Yes","Bank transfer (automatic)",84.8,2309.55,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"393","Female",1,"No","No",2,"Month-to-month","Yes","Electronic check",44.3,89.3,"Yes","No","DSL","No","No","No","No","No","No",0
"394","Female",0,"No","No",19,"Month-to-month","No","Mailed check",19.9,367.55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"395","Female",1,"Yes","No",42,"Month-to-month","Yes","Electronic check",95.05,3944.5,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes",0
"396","Female",0,"No","No",66,"Two year","Yes","Credit card (automatic)",90.05,5965.95,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",0
"397","Male",1,"Yes","No",33,"Month-to-month","Yes","Bank transfer (automatic)",109.9,3694.7,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes",0
"398","Female",0,"No","No",34,"Month-to-month","Yes","Credit card (automatic)",73.95,2524.45,"Yes","No","Fiber optic","No","Yes","No","No","No","No",1
"399","Male",1,"No","No",33,"Month-to-month","Yes","Electronic check",54.6,1803.7,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes",0
"400","Female",0,"Yes","Yes",23,"One year","No","Mailed check",20.05,415.1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"401","Female",0,"No","No",32,"One year","No","Bank transfer (automatic)",19.75,624.15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"402","Female",0,"No","No",11,"One year","No","Credit card (automatic)",20.05,237.7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"403","Male",0,"Yes","Yes",69,"Month-to-month","Yes","Credit card (automatic)",99.45,7007.6,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",1
"404","Female",0,"Yes","No",68,"One year","No","Bank transfer (automatic)",55.9,3848.8,"Yes","No","DSL","Yes","No","No","Yes","No","No",0
"405","Male",0,"No","No",20,"Two year","Yes","Mailed check",19.7,419.4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"406","Male",0,"No","No",72,"Two year","Yes","Credit card (automatic)",19.8,1468.75,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"407","Male",0,"Yes","Yes",60,"One year","Yes","Bank transfer (automatic)",95.4,5812,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No",0
"408","Male",1,"Yes","Yes",32,"Month-to-month","Yes","Mailed check",93.95,2861.45,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes",0
"409","Female",0,"No","No",1,"Month-to-month","Yes","Mailed check",19.9,19.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",1
"410","Male",0,"No","No",1,"Month-to-month","Yes","Mailed check",19.6,19.6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",1
"411","Male",1,"No","No",3,"Month-to-month","Yes","Electronic check",81.35,233.7,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No",1
"412","Female",0,"Yes","No",46,"One year","Yes","Bank transfer (automatic)",24.45,1066.15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"413","Female",0,"Yes","No",29,"Month-to-month","Yes","Electronic check",74.95,2149.05,"Yes","Yes","Fiber optic","No","No","No","No","No","No",0
"414","Male",0,"No","No",51,"Month-to-month","Yes","Electronic check",87.35,4473,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No",0
"415","Female",1,"Yes","No",48,"Month-to-month","Yes","Bank transfer (automatic)",70.65,3545.05,"Yes","No","Fiber optic","No","No","No","No","No","No",0
"416","Female",0,"Yes","Yes",16,"Month-to-month","No","Bank transfer (automatic)",73.25,1195.75,"Yes","No","Fiber optic","No","Yes","No","No","No","No",0
"417","Male",0,"Yes","No",70,"Two year","Yes","Bank transfer (automatic)",98.7,6858.9,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes",0
"418","Female",0,"Yes","Yes",40,"Two year","Yes","Mailed check",24.8,1024.7,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"419","Female",0,"Yes","Yes",22,"Month-to-month","No","Electronic check",83.3,1845.9,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes",1
"420","Female",1,"No","No",1,"Month-to-month","Yes","Bank transfer (automatic)",75.3,75.3,"Yes","No","Fiber optic","No","No","Yes","No","No","No",1
"421","Female",0,"Yes","Yes",5,"Month-to-month","Yes","Mailed check",24.3,132.25,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"422","Female",0,"No","No",7,"Month-to-month","Yes","Bank transfer (automatic)",69.85,515.45,"Yes","No","Fiber optic","No","No","No","No","No","No",0
"423","Male",0,"No","Yes",29,"One year","No","Credit card (automatic)",100.55,2830.45,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes",0
"424","Male",0,"Yes","Yes",44,"One year","No","Mailed check",25.7,1110.5,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"425","Female",0,"No","No",10,"Month-to-month","No","Bank transfer (automatic)",40.7,449.3,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No",0
"426","Female",1,"Yes","No",55,"Month-to-month","No","Bank transfer (automatic)",51.65,2838.55,"Yes","Yes","DSL","No","No","No","No","No","No",0
"427","Male",1,"Yes","No",52,"One year","Yes","Bank transfer (automatic)",105.1,5376.4,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",0
"428","Female",0,"Yes","Yes",10,"Month-to-month","No","Electronic check",85.95,858.6,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes",0
"429","Male",0,"No","No",18,"Month-to-month","Yes","Bank transfer (automatic)",75.6,1395.05,"Yes","Yes","Fiber optic","No","No","No","No","No","No",0
"430","Female",0,"Yes","No",68,"One year","No","Bank transfer (automatic)",58.25,3975.7,"Yes","Yes","DSL","Yes","No","No","Yes","No","No",0
"431","Female",0,"Yes","Yes",61,"Month-to-month","Yes","Mailed check",19.4,1182.55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",1
"432","Female",0,"Yes","Yes",72,"Two year","Yes","Credit card (automatic)",65.2,4784.45,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes",0
"433","Male",0,"No","No",2,"Month-to-month","No","Electronic check",53.45,119.5,"Yes","No","DSL","Yes","No","Yes","No","No","No",0
"434","Male",0,"No","No",12,"Month-to-month","Yes","Bank transfer (automatic)",45.4,518.9,"Yes","No","DSL","No","No","No","No","No","No",1
"435","Male",0,"Yes","No",41,"Two year","Yes","Electronic check",19.75,899.45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"436","Female",0,"No","No",26,"Month-to-month","Yes","Credit card (automatic)",44.45,1183.8,"No","No phone service","DSL","No","No","Yes","Yes","Yes","No",0
"437","Male",0,"Yes","No",36,"One year","No","Bank transfer (automatic)",20.85,720.05,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"438","Male",0,"Yes","Yes",72,"Two year","Yes","Credit card (automatic)",114.05,8468.2,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"439","Male",0,"Yes","No",35,"Month-to-month","Yes","Bank transfer (automatic)",89.85,3161.2,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes",0
"440","Male",0,"No","No",1,"Month-to-month","No","Mailed check",55.05,55.05,"Yes","No","DSL","No","No","Yes","Yes","No","No",0
"441","Female",0,"Yes","Yes",16,"Month-to-month","Yes","Electronic check",112.95,1882.55,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes",0
"442","Female",1,"No","No",49,"Month-to-month","No","Credit card (automatic)",101.55,5070.4,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes",0
"443","Female",0,"Yes","No",54,"One year","Yes","Mailed check",114.65,6049.5,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"444","Female",0,"No","Yes",18,"Month-to-month","No","Electronic check",64.8,1166.7,"Yes","Yes","DSL","Yes","No","No","No","No","Yes",0
"445","Female",0,"Yes","No",36,"Month-to-month","No","Electronic check",80.4,2937.65,"Yes","No","Fiber optic","No","No","No","No","No","Yes",0
"446","Female",0,"No","No",60,"Month-to-month","Yes","Electronic check",105.9,6396.45,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",1
"447","Female",0,"No","No",1,"Month-to-month","No","Mailed check",69.55,69.55,"Yes","No","Fiber optic","No","No","No","No","No","No",1
"448","Female",0,"Yes","Yes",52,"Two year","Yes","Bank transfer (automatic)",25.05,1270.25,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"449","Male",0,"Yes","Yes",8,"Month-to-month","Yes","Electronic check",94.75,759.55,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes",0
"450","Male",0,"Yes","Yes",72,"Two year","No","Bank transfer (automatic)",105.5,7611.55,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes",0
"451","Female",0,"No","No",64,"One year","No","Mailed check",24.7,1642.75,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"452","Female",1,"No","No",22,"Month-to-month","Yes","Mailed check",69.75,1545.4,"Yes","No","DSL","Yes","No","Yes","Yes","No","Yes",0
"453","Male",0,"Yes","No",60,"Month-to-month","Yes","Bank transfer (automatic)",60.2,3582.4,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"454","Female",0,"Yes","Yes",28,"Month-to-month","Yes","Electronic check",81.05,2227.1,"Yes","No","Fiber optic","No","No","No","No","No","Yes",1
"455","Female",0,"Yes","No",61,"Two year","No","Mailed check",24.4,1417.9,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"456","Female",0,"No","No",24,"Month-to-month","Yes","Electronic check",104.15,2494.65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",0
"457","Male",0,"Yes","Yes",28,"One year","No","Bank transfer (automatic)",92.9,2768.35,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No",0
"458","Female",0,"Yes","Yes",30,"Two year","No","Bank transfer (automatic)",80.8,2369.3,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"459","Male",0,"Yes","No",2,"Month-to-month","No","Mailed check",20,38,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"460","Male",0,"No","No",1,"Month-to-month","Yes","Electronic check",75.1,75.1,"Yes","Yes","Fiber optic","No","No","No","No","No","No",0
"461","Male",0,"No","Yes",6,"Month-to-month","No","Mailed check",19.65,100.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"462","Female",0,"Yes","No",24,"Month-to-month","Yes","Bank transfer (automatic)",69.45,1614.05,"Yes","No","DSL","No","Yes","No","No","Yes","Yes",0
"463","Male",0,"Yes","Yes",4,"Month-to-month","No","Electronic check",101.15,385.9,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",1
"464","Male",0,"No","No",7,"Month-to-month","Yes","Electronic check",99.8,673.25,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes",1
"465","Male",1,"Yes","No",72,"Two year","Yes","Bank transfer (automatic)",116.05,8404.9,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"466","Male",0,"No","No",70,"Two year","Yes","Mailed check",40.05,2799.75,"No","No phone service","DSL","No","No","No","Yes","No","Yes",0
"467","Male",1,"Yes","No",64,"Two year","No","Electronic check",102.1,6538.45,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes",0
"468","Male",0,"Yes","Yes",72,"One year","Yes","Electronic check",89.7,6588.95,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No",0
"469","Female",0,"No","Yes",44,"Two year","No","Mailed check",19.9,868.1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"470","Female",0,"Yes","Yes",13,"Month-to-month","No","Electronic check",55.95,734.35,"Yes","No","DSL","No","No","No","No","No","Yes",1
"471","Female",1,"No","No",17,"One year","No","Mailed check",20.65,330.6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"472","Male",0,"No","No",1,"Month-to-month","Yes","Electronic check",55,55,"Yes","No","DSL","No","No","No","No","No","Yes",1
"473","Male",0,"Yes","No",9,"Month-to-month","Yes","Mailed check",70.05,564.4,"Yes","No","DSL","No","No","Yes","No","Yes","Yes",0
"474","Male",0,"Yes","No",24,"Month-to-month","No","Mailed check",53.6,1315.35,"Yes","No","DSL","Yes","No","No","Yes","No","No",0
"475","Female",0,"Yes","Yes",1,"Month-to-month","Yes","Electronic check",74.7,74.7,"Yes","No","Fiber optic","No","Yes","No","No","No","No",1
"476","Male",0,"No","No",24,"Month-to-month","Yes","Electronic check",80.25,1861.5,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No",1
"477","Male",1,"Yes","Yes",35,"Month-to-month","Yes","Electronic check",76.05,2747.2,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes",0
"478","Female",0,"Yes","Yes",7,"Month-to-month","Yes","Electronic check",75.7,554.05,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No",0
"479","Male",0,"No","No",5,"Month-to-month","Yes","Electronic check",96.1,453.4,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes",1
"480","Female",0,"No","Yes",15,"Month-to-month","No","Bank transfer (automatic)",69,994.8,"Yes","No","Fiber optic","No","No","No","No","No","No",1
"481","Male",0,"Yes","Yes",11,"Two year","No","Mailed check",19.65,225.75,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"482","Female",0,"Yes","No",48,"Month-to-month","Yes","Bank transfer (automatic)",45.3,2145,"No","No phone service","DSL","Yes","No","Yes","No","No","Yes",1
"483","Female",1,"No","No",20,"Month-to-month","Yes","Electronic check",81.45,1671.6,"Yes","No","Fiber optic","No","No","No","No","No","Yes",0
"484","Female",0,"Yes","No",72,"One year","Yes","Bank transfer (automatic)",108.5,8003.8,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes",0
"485","Female",0,"Yes","Yes",8,"Month-to-month","Yes","Electronic check",83.55,680.05,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No",1
"486","Male",0,"Yes","Yes",72,"Two year","Yes","Credit card (automatic)",84.5,6130.85,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes",0
"487","Female",0,"No","No",15,"Month-to-month","Yes","Electronic check",100.15,1415,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes",0
"488","Male",0,"No","No",72,"Two year","Yes","Bank transfer (automatic)",88.6,6201.95,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"489","Female",0,"Yes","Yes",0,"Two year","Yes","Bank transfer (automatic)",52.55,NA,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","No",0
"490","Male",0,"No","Yes",1,"Month-to-month","Yes","Electronic check",74.35,74.35,"Yes","Yes","Fiber optic","No","No","No","No","No","No",1
"491","Male",0,"Yes","Yes",63,"Two year","Yes","Bank transfer (automatic)",104.8,6597.25,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",0
"492","Female",0,"No","No",2,"Month-to-month","Yes","Electronic check",59,114.15,"Yes","No","DSL","No","Yes","No","No","Yes","No",0
"493","Female",0,"Yes","No",2,"Month-to-month","Yes","Electronic check",74.4,139.4,"Yes","No","Fiber optic","Yes","No","No","No","No","No",1
"494","Male",1,"Yes","No",61,"One year","No","Bank transfer (automatic)",64.05,3902.6,"Yes","Yes","DSL","No","Yes","No","No","No","Yes",0
"495","Male",0,"No","No",1,"Month-to-month","No","Mailed check",20.4,20.4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"496","Male",0,"No","No",22,"One year","Yes","Bank transfer (automatic)",43.75,903.6,"No","No phone service","DSL","No","Yes","Yes","No","No","Yes",1
"497","Male",0,"Yes","No",28,"Month-to-month","No","Mailed check",60.9,1785.65,"Yes","No","DSL","Yes","Yes","No","Yes","No","No",0
"498","Female",0,"Yes","No",70,"Two year","No","Bank transfer (automatic)",19.8,1397.65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"499","Female",1,"No","No",5,"Month-to-month","No","Electronic check",28.45,131.05,"No","No phone service","DSL","No","Yes","No","No","No","No",1
"500","Female",0,"No","No",12,"Month-to-month","Yes","Bank transfer (automatic)",99.7,1238.45,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes",1
"501","Male",0,"No","No",34,"One year","No","Credit card (automatic)",116.25,3899.05,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"502","Female",1,"Yes","No",71,"Two year","Yes","Credit card (automatic)",80.7,5676,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No",0
"503","Female",0,"Yes","Yes",70,"One year","No","Bank transfer (automatic)",65.2,4543.15,"Yes","Yes","DSL","Yes","No","No","No","No","Yes",0
"504","Female",0,"Yes","Yes",52,"Month-to-month","Yes","Bank transfer (automatic)",84.05,4326.8,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No",0
"505","Male",0,"No","Yes",69,"Two year","Yes","Credit card (automatic)",79.45,5502.55,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No",0
"506","Female",1,"No","No",20,"Month-to-month","Yes","Electronic check",94.1,1782.4,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes",1
"507","Male",0,"No","Yes",11,"Month-to-month","Yes","Mailed check",78,851.8,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No",0
"508","Male",0,"Yes","No",2,"Month-to-month","Yes","Electronic check",94.2,167.5,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes",1
"509","Female",0,"Yes","Yes",6,"Month-to-month","Yes","Electronic check",80.5,502.85,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No",1
"510","Female",0,"No","No",1,"Month-to-month","No","Mailed check",19.85,19.85,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"511","Male",1,"Yes","Yes",20,"One year","No","Credit card (automatic)",94.3,1818.3,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes",0
"512","Male",0,"No","No",61,"Month-to-month","Yes","Electronic check",106.45,6300.15,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes",0
"513","Female",1,"Yes","No",5,"Month-to-month","Yes","Electronic check",74.35,334.8,"Yes","Yes","Fiber optic","No","No","No","No","No","No",1
"514","Female",0,"No","No",56,"Month-to-month","Yes","Bank transfer (automatic)",105.45,5916.95,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes",0
"515","Male",0,"No","No",30,"Month-to-month","Yes","Credit card (automatic)",95,2852.4,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No",0
"516","Male",0,"No","No",40,"Month-to-month","No","Bank transfer (automatic)",104.8,4131.95,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes",1
"517","Female",0,"No","No",28,"One year","No","Mailed check",54.3,1546.3,"Yes","No","DSL","Yes","No","No","Yes","No","No",0
"518","Female",1,"Yes","No",5,"Month-to-month","No","Electronic check",70.05,302.6,"Yes","No","Fiber optic","No","No","No","No","No","No",0
"519","Female",1,"Yes","No",27,"Month-to-month","Yes","Bank transfer (automatic)",75.2,1929.35,"Yes","No","Fiber optic","Yes","No","No","No","No","No",1
"520","Male",0,"No","No",12,"Month-to-month","No","Credit card (automatic)",20.05,265.45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"521","Male",0,"Yes","Yes",67,"One year","Yes","Electronic check",105.4,6989.45,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",0
"522","Male",1,"Yes","No",29,"Month-to-month","Yes","Electronic check",51.6,1442,"Yes","Yes","DSL","No","No","No","No","No","No",0
"523","Male",0,"Yes","Yes",55,"Month-to-month","No","Bank transfer (automatic)",85.5,4713.4,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes",0
"524","Female",0,"No","No",23,"Month-to-month","No","Bank transfer (automatic)",75.6,1758.6,"Yes","Yes","Fiber optic","No","No","No","No","No","No",1
"525","Male",0,"Yes","No",34,"Month-to-month","Yes","Electronic check",100.05,3480,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",1
"526","Male",0,"No","No",52,"One year","No","Electronic check",91.25,4738.3,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No",0
"527","Male",1,"Yes","Yes",72,"Two year","Yes","Credit card (automatic)",115.75,8399.15,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"528","Male",0,"Yes","Yes",58,"One year","Yes","Credit card (automatic)",94.7,5430.35,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No",0
"529","Male",0,"Yes","Yes",35,"Two year","No","Mailed check",19.6,686.95,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"530","Female",1,"No","No",56,"Two year","Yes","Bank transfer (automatic)",99.9,5706.3,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No",0
"531","Female",0,"Yes","Yes",24,"Two year","Yes","Credit card (automatic)",21.1,490.65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"532","Male",0,"Yes","Yes",70,"Two year","No","Credit card (automatic)",20.05,1360.25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"533","Male",0,"No","No",2,"Month-to-month","Yes","Electronic check",79.95,174.45,"Yes","No","Fiber optic","No","No","No","No","Yes","No",0
"534","Male",1,"Yes","Yes",68,"One year","Yes","Credit card (automatic)",107.15,7379.8,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes",0
"535","Female",0,"No","No",1,"Month-to-month","Yes","Electronic check",85,85,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes",1
"536","Male",0,"No","No",12,"Month-to-month","Yes","Electronic check",89.55,1021.75,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No",0
"537","Female",0,"Yes","No",63,"Month-to-month","Yes","Bank transfer (automatic)",81.55,5029.05,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No",0
"538","Female",0,"Yes","Yes",33,"One year","Yes","Mailed check",58.45,1955.4,"Yes","No","DSL","Yes","Yes","Yes","No","No","No",0
"539","Female",0,"Yes","No",69,"One year","Yes","Credit card (automatic)",95.65,6744.2,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes",0
"540","Female",0,"Yes","Yes",60,"Two year","Yes","Bank transfer (automatic)",80.6,4946.7,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"541","Female",0,"Yes","Yes",72,"Two year","Yes","Bank transfer (automatic)",113.1,8248.5,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"542","Female",0,"No","No",11,"Month-to-month","Yes","Mailed check",58.95,601.6,"Yes","Yes","DSL","No","No","No","No","No","Yes",0
"543","Female",0,"No","No",1,"Month-to-month","No","Mailed check",19.55,19.55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"544","Male",0,"No","No",10,"Month-to-month","Yes","Bank transfer (automatic)",86.05,834.1,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No",1
"545","Male",0,"No","No",13,"Month-to-month","Yes","Credit card (automatic)",45.55,597,"No","No phone service","DSL","Yes","No","No","Yes","Yes","No",1
"546","Male",0,"Yes","Yes",34,"One year","Yes","Bank transfer (automatic)",78.95,2647.2,"Yes","No","Fiber optic","No","No","No","No","No","Yes",0
"547","Male",0,"Yes","Yes",39,"Month-to-month","Yes","Mailed check",86.3,3266,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No",1
"548","Female",0,"No","No",65,"One year","Yes","Bank transfer (automatic)",105.05,6744.25,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes",0
"549","Male",1,"Yes","No",50,"One year","Yes","Bank transfer (automatic)",101.9,5265.5,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No",0
"550","Male",0,"No","No",15,"Month-to-month","No","Mailed check",19.75,311.6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"551","Male",0,"Yes","Yes",72,"Two year","Yes","Bank transfer (automatic)",110.3,7966.9,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes",0
"552","Female",0,"Yes","Yes",72,"Two year","Yes","Bank transfer (automatic)",115.6,8220.4,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes",0
"553","Male",0,"Yes","Yes",55,"Two year","No","Bank transfer (automatic)",19.35,1153.25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"554","Female",0,"Yes","Yes",23,"Two year","Yes","Credit card (automatic)",25.6,514.75,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"555","Male",0,"No","No",32,"Month-to-month","Yes","Bank transfer (automatic)",80.35,2596.15,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No",1
"556","Female",0,"Yes","Yes",56,"One year","Yes","Bank transfer (automatic)",68.75,3808,"Yes","Yes","DSL","Yes","No","Yes","No","No","Yes",0
"557","Female",0,"No","No",1,"Month-to-month","No","Bank transfer (automatic)",19.9,19.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"558","Male",0,"No","No",38,"One year","No","Mailed check",70.6,2708.2,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No",0
"559","Male",0,"No","No",11,"Month-to-month","No","Electronic check",70.2,760.05,"Yes","No","Fiber optic","No","No","No","No","No","No",0
"560","Male",0,"No","No",1,"Month-to-month","Yes","Electronic check",49.3,49.3,"Yes","No","DSL","No","No","No","Yes","No","No",0
"561","Male",0,"Yes","No",56,"One year","Yes","Electronic check",107.25,6033.3,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes",0
